Ulke,Cinsiyet,Tedavi_Turu,Fiyat_(Eur),Basvuru_Kanali,Bizim_ilk_Tepki_Suremiz_(sn),Musterinin_ilk_Tepki_Suresi_(sn),Musterinin_ilk_Mesaj_Uzunlugu_(harf_sayisi),Satis_Oldu_Mu
Almanya,Kadin,Dis,2500,Form,100,150,20,Hayir
Almanya,Kadin,Dis,2500,Form,100,200,30,Evet
Almanya,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Almanya,Erkek,Dis,2500,Form,100,150,80,Evet
Almanya,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Almanya,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Almanya,Kadin,Dis,2500,Form,100,150,20,Hayir
Almanya,Kadin,Dis,2500,Form,100,200,30,Hayir
Almanya,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Almanya,Erkek,Dis,2500,Form,100,150,80,Evet
Almanya,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Almanya,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Almanya,Kadin,Dis,2500,Form,100,150,20,Hayir
Almanya,Kadin,Dis,2500,Form,100,200,30,Hayir
Almanya,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Almanya,Erkek,Dis,2500,Form,100,150,80,Evet
Almanya,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Almanya,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Almanya,Kadin,Dis,2500,Form,100,150,20,Hayir
Almanya,Kadin,Dis,2500,Form,100,200,30,Hayir
Almanya,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Almanya,Erkek,Dis,2500,Form,100,150,80,Evet
Almanya,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Almanya,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Amerika,Kadin,Dis,2500,Form,100,150,20,Hayir
Amerika,Kadin,Dis,2500,Form,100,200,30,Hayir
Amerika,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Amerika,Erkek,Dis,2500,Form,100,150,80,Evet
Amerika,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Amerika,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Amerika,Kadin,Dis,2500,Form,100,150,20,Hayir
Amerika,Kadin,Dis,2500,Form,100,200,30,Hayir
Amerika,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Amerika,Erkek,Dis,2500,Form,100,150,80,Evet
Amerika,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Amerika,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Amerika,Kadin,Dis,2500,Form,100,150,20,Hayir
Amerika,Kadin,Dis,2500,Form,100,200,30,Hayir
Amerika,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Amerika,Erkek,Dis,2500,Form,100,150,80,Evet
Amerika,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Amerika,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Amerika,Kadin,Dis,2500,Form,100,150,20,Hayir
Amerika,Kadin,Dis,2500,Form,100,200,30,Hayir
Amerika,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Amerika,Erkek,Dis,2500,Form,100,150,80,Evet
Amerika,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Amerika,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Fransa,Kadin,Dis,2500,Form,100,150,20,Hayir
Fransa,Kadin,Dis,2500,Form,100,200,30,Hayir
Fransa,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Fransa,Erkek,Dis,2500,Form,100,150,80,Evet
Fransa,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Fransa,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Fransa,Kadin,Dis,2500,Form,100,150,20,Hayir
Fransa,Kadin,Dis,2500,Form,100,200,30,Hayir
Fransa,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Fransa,Erkek,Dis,2500,Form,100,150,80,Evet
Fransa,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Fransa,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Fransa,Kadin,Dis,2500,Form,100,150,20,Hayir
Fransa,Kadin,Dis,2500,Form,100,200,30,Hayir
Fransa,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Fransa,Erkek,Dis,2500,Form,100,150,80,Evet
Fransa,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Fransa,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Fransa,Kadin,Dis,2500,Form,100,150,20,Hayir
Fransa,Kadin,Dis,2500,Form,100,200,30,Hayir
Fransa,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Fransa,Erkek,Dis,2500,Form,100,150,80,Evet
Fransa,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Fransa,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Ingiltere,Kadin,Dis,2500,Form,100,150,20,Hayir
Ingiltere,Kadin,Dis,2500,Form,100,200,30,Hayir
Ingiltere,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Ingiltere,Erkek,Dis,2500,Form,100,150,80,Evet
Ingiltere,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Ingiltere,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Ingiltere,Kadin,Dis,2500,Form,100,150,20,Hayir
Ingiltere,Kadin,Dis,2500,Form,100,200,30,Hayir
Ingiltere,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Ingiltere,Erkek,Dis,2500,Form,100,150,80,Evet
Ingiltere,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Ingiltere,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Ingiltere,Kadin,Dis,2500,Form,100,150,20,Hayir
Ingiltere,Kadin,Dis,2500,Form,100,200,30,Hayir
Ingiltere,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Ingiltere,Erkek,Dis,2500,Form,100,150,80,Evet
Ingiltere,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Ingiltere,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Ingiltere,Kadin,Dis,2500,Form,100,150,20,Hayir
Ingiltere,Kadin,Dis,2500,Form,100,200,30,Hayir
Ingiltere,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Ingiltere,Erkek,Dis,2500,Form,100,150,80,Evet
Ingiltere,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Ingiltere,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Ispanya,Kadin,Dis,2500,Form,100,150,20,Hayir
Ispanya,Kadin,Dis,2500,Form,100,200,30,Hayir
Ispanya,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Ispanya,Erkek,Dis,2500,Form,100,150,80,Evet
Ispanya,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Ispanya,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Ispanya,Kadin,Dis,2500,Form,100,150,20,Hayir
Ispanya,Kadin,Dis,2500,Form,100,200,30,Hayir
Ispanya,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Ispanya,Erkek,Dis,2500,Form,100,150,80,Evet
Ispanya,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Ispanya,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Ispanya,Kadin,Dis,2500,Form,100,150,20,Hayir
Ispanya,Kadin,Dis,2500,Form,100,200,30,Hayir
Ispanya,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Ispanya,Erkek,Dis,2500,Form,100,150,80,Evet
Ispanya,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Ispanya,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Ispanya,Kadin,Dis,2500,Form,100,150,20,Hayir
Ispanya,Kadin,Dis,2500,Form,100,200,30,Hayir
Ispanya,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Ispanya,Erkek,Dis,2500,Form,100,150,80,Evet
Ispanya,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Ispanya,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
Italya,Kadin,Dis,2500,Form,100,150,20,Hayir
Italya,Kadin,Dis,2500,Form,100,200,30,Hayir
Italya,Kadin,Dis,2500,Whatsapp,100,500,30,Hayir
Italya,Erkek,Dis,2500,Form,100,150,80,Evet
Italya,Erkek,Dis,2500,Whatsapp,100,200,120,Hayir
Italya,Erkek,Dis,2500,Whatsapp,100,500,120,Hayir
