Ulke,Cinsiyet,Tedavi_Turu,Fiyat_(Eur),Basvuru_Kanali,Bizim_ilk_Tepki_Suremiz_(sn),Musterinin_ilk_Tepki_Suresi_(sn),Musterinin_ilk_Mesaj_Uzunlugu_(harf_sayisi),Satis_Oldu_Mu
1,1,1,2500,1,100,150,20,2
1,1,1,2500,1,100,200,30,1
1,1,1,2500,2,100,500,30,2
1,2,1,2500,1,100,150,80,1
1,2,1,2500,2,100,200,120,2
1,2,1,2500,2,100,500,120,2
1,1,1,2500,1,100,150,20,2
1,1,1,2500,1,100,200,30,2
1,1,1,2500,2,100,500,30,2
1,2,1,2500,1,100,150,80,1
1,2,1,2500,2,100,200,120,2
1,2,1,2500,2,100,500,120,2
1,1,1,2500,1,100,150,20,2
1,1,1,2500,1,100,200,30,2
1,1,1,2500,2,100,500,30,2
1,2,1,2500,1,100,150,80,1
1,2,1,2500,2,100,200,120,2
1,2,1,2500,2,100,500,120,2
1,1,1,2500,1,100,150,20,2
1,1,1,2500,1,100,200,30,2
1,1,1,2500,2,100,500,30,2
1,2,1,2500,1,100,150,80,1
1,2,1,2500,2,100,200,120,2
1,2,1,2500,2,100,500,120,2
2,1,1,2500,1,100,150,20,2
2,1,1,2500,1,100,200,30,2
2,1,1,2500,2,100,500,30,2
2,2,1,2500,1,100,150,80,1
2,2,1,2500,2,100,200,120,2
2,2,1,2500,2,100,500,120,2
2,1,1,2500,1,100,150,20,2
2,1,1,2500,1,100,200,30,2
2,1,1,2500,2,100,500,30,2
2,2,1,2500,1,100,150,80,1
2,2,1,2500,2,100,200,120,2
2,2,1,2500,2,100,500,120,2
2,1,1,2500,1,100,150,20,2
2,1,1,2500,1,100,200,30,2
2,1,1,2500,2,100,500,30,2
2,2,1,2500,1,100,150,80,1
2,2,1,2500,2,100,200,120,2
2,2,1,2500,2,100,500,120,2
2,1,1,2500,1,100,150,20,2
2,1,1,2500,1,100,200,30,2
2,1,1,2500,2,100,500,30,2
2,2,1,2500,1,100,150,80,1
2,2,1,2500,2,100,200,120,2
2,2,1,2500,2,100,500,120,2
3,1,1,2500,1,100,150,20,2
3,1,1,2500,1,100,200,30,2
3,1,1,2500,2,100,500,30,2
3,2,1,2500,1,100,150,80,1
3,2,1,2500,2,100,200,120,2
3,2,1,2500,2,100,500,120,2
3,1,1,2500,1,100,150,20,2
3,1,1,2500,1,100,200,30,2
3,1,1,2500,2,100,500,30,2
3,2,1,2500,1,100,150,80,1
3,2,1,2500,2,100,200,120,2
